PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
SDS3D12,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2023,2.0
SDS3F57,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2023,2.0
SDS3F58,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2023,2.0
SDS3F59,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2023,3.0
SDT4A77,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4A92,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4A93,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4B06,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4B33,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4B58,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4B70,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4B80,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT4G68,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT5A68,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT5A71,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT8I53,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT8I60,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT8I68,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT8I72,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDT8J05,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
